Genes	B	CD4	CD8	CLP	CMP	Ery	GMP-A	GMP-B	GMP-C	HSC	LMPP	MEP	Mono	MPP	NK	pDC
NCMAP	7	21	7	0	1	0	0	0	0	4	38	5	4	0	1	76
SRRM1	24259	34414	23723	18568	38979	8162	18259	15982	27322	25859	18584	40133	35447	29711	21401	17624
CLIC4	7998	41	9	4757	6503	3311	445	315	1200	3767	2202	4554	4094	4880	90	1946
RUNX3	5264	8445	12296	812	3409	14	1484	1882	2314	2984	3013	2307	3138	4132	37531	3223
SYF2	8238	9205	6627	6000	8039	2163	1925	1376	3654	8425	3567	6487	9494	9938	5102	4750
RHD	77	183	137	43	70	8923	7	1	0	34	16	106	149	72	154	4
TMEM50A	5828	15671	13301	10674	16294	4803	1665	2015	4577	7530	6318	18398	22704	10291	17752	3789
C1orf63	2563	2920	2442	931	1086	1504	152	210	376	1411	617	1062	3286	1530	2379	409
RHCE	5	30	33	10	214	21117	2	0	0	230	27	721	11	365	20	0
TMEM57	2487	3586	2727	3691	5393	7539	512	447	538	3555	2382	6751	2427	3743	2613	1316
LDLRAP1	591	9137	7288	92	989	85	185	203	204	851	652	932	956	1503	1069	194
MAN1C1	13	3647	1567	56	324	0	33	11	4	185	103	42	1038	123	262	17
SEPN1	497	3664	1395	556	10477	10	4932	6023	7928	6137	3040	8893	8015	7346	721	782
RP1-317E23.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTFR1L	696	1292	825	559	2561	187	323	555	351	1872	886	2310	1554	2523	844	280
AL020996.1	101	187	108	15	27	8	104	28	11	32	23	34	60	32	41	53
AUNIP	10	18	9	303	814	637	92	73	158	102	437	870	84	73	29	49
PAQR7	49	95	74	33	961	2	377	448	1265	734	487	949	805	1312	48	55
STMN1	4427	2067	2028	43940	24747	2839	3200	3242	7780	9418	18686	25147	599	10999	1973	26666
PAFAH2	283	790	884	230	375	47	23	11	191	197	270	309	614	282	3968	427
EXTL1	1	0	7	0	1	0	0	0	0	1	0	1	1	1	0	0
SLC30A2	1	4	0	1	4	0	0	1	0	1	0	0	14	1	0	0
TRIM63	4	0	0	0	3	0	0	0	0	0	1	7	12	0	0	0
PDIK1L	909	1166	870	1213	2472	1244	36	105	281	2060	1617	2981	636	2366	774	474
FAM110D	0	0	0	0	5	1	0	0	0	1	1	90	1	25	2	0
ZNF593	4	5	1	0	26	0	30	4	4	36	12	17	11	13	2	5
CNKSR1	99	77	4	1	48	0	86	18	14	186	93	22	36	158	1	6
CATSPER4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP85	337	700	483	913	1830	1235	133	414	940	1117	1217	2640	1079	1701	568	639
SH3BGRL3	14772	30035	26149	4996	28196	648	26155	33735	86195	16509	11634	13678	141517	25238	22064	24769
CD52	17641	19559	10764	2409	1925	7	175	55	154	5351	2606	264	11296	4765	3437	5
UBXN11	115	451	274	20	361	2	63	30	155	431	276	363	3222	506	160	169
AIM1L	341	247	95	24	5	0	0	0	0	8	12	1	66	21	30	0
ZNF683	1	6	539	0	0	0	0	0	0	0	8	1	0	7	207	0
LIN28A	7	13	7	23	4	0	3	0	1	10	12	3	14	2	0	1
DHDDS	911	1481	950	769	1898	425	292	329	384	1575	1226	1972	2126	1876	1677	461
HMGN2	8187	9429	6571	40796	21336	15988	2764	3040	8062	8583	13040	14326	6606	10137	6807	11070
RPS6KA1	1396	2297	1879	760	2685	326	940	777	1741	1330	1300	2895	6108	2037	3075	1370
ARID1A	15793	18182	12210	6554	20050	1967	15044	17675	25812	14041	10742	28168	29452	18859	14281	20447
PIGV	179	261	308	245	540	387	68	40	389	393	318	1109	246	481	386	92
ZDHHC18	326	1573	1097	156	986	6	194	259	1030	628	502	1119	1421	894	1388	386
SFN	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	7
GPN2	327	709	443	180	541	120	252	291	332	464	306	910	690	603	349	449
NUDC	1517	3296	2766	2444	7211	1043	1560	1124	3284	3864	3824	9936	3552	4937	2334	4498
GPATCH3	450	389	327	178	385	68	113	47	272	566	208	721	626	411	232	265
NR0B2	5	3	1	0	1	0	0	0	0	1	0	2	1	0	0	0
C1orf172	17	93	48	0	1	0	0	0	1	0	0	0	4	6	2	5
TRNP1	1	0	0	4	1	0	1	0	0	5	2	0	12	6	1	0
FAM46B	0	0	0	0	0	0	1	0	0	1	6	2	31	6	0	0
SLC9A1	431	1124	685	166	1257	10	374	851	1640	901	632	1336	3011	1230	975	815
WDTC1	1899	2660	1877	768	4495	920	3204	3086	3999	3263	1296	5590	5196	4617	2501	2862
TMEM222	250	536	382	23	521	40	31	277	442	426	240	1073	330	777	257	425
SYTL1	186	369	162	17	304	0	61	69	122	212	180	150	258	337	488	38
MAP3K6	13	84	79	10	45	1	137	48	14	188	91	30	243	129	40	141
FCN3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
CD164L2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
GPR3	18	46	53	69	247	0	206	533	397	202	121	46	8	190	16	286
WASF2	22632	28014	17447	23012	27289	19197	12916	13973	27734	25924	17582	25246	38480	31561	18467	33956
AHDC1	332	395	184	1117	477	3	475	373	1415	643	943	313	167	880	565	1610
FGR	2684	30	699	4	167	1	161	55	1293	112	81	108	57971	39	9410	210
IFI6	143	861	535	194	899	119	1291	1188	376	622	527	487	1971	1160	694	0
FAM76A	838	1324	1151	662	623	402	49	89	184	533	510	845	840	571	899	245
STX12	4294	2360	1814	1524	2697	325	257	461	736	3468	1692	2028	9828	3311	2094	525
PPP1R8	2188	2109	2179	2304	3599	1472	235	319	682	2287	1565	4610	2221	2761	2900	987
AL109927.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THEMIS2	1814	1149	821	1697	1321	28	1061	3602	12595	1944	671	2274	19948	1562	5281	14516
RPA2	2208	3472	2846	1808	2830	1301	351	166	749	1762	1427	5057	2205	1901	6015	917
SMPDL3B	19	26	8	4	437	1	207	22	700	689	182	660	42	589	41	3
XKR8	159	439	320	58	687	4	70	290	221	232	285	838	2305	424	908	582
EYA3	1936	2823	2014	2459	6155	3417	1453	2091	2525	4067	4037	7626	3764	3782	4074	1463
PTAFR	267	33	38	5	1015	17	70	205	1607	681	116	287	35349	1061	193	238
AL353354.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL353354.1	3	7	3	5	15	5	0	1	0	7	7	12	4	9	2	2
DNAJC8	3794	5069	3523	3948	7911	2412	1151	1324	2969	5460	4311	8492	5335	6665	5396	5136
ATPIF1	1114	2262	1748	1294	3368	7711	1040	1472	1944	1778	1696	7180	1684	2513	1910	1544
SESN2	84	97	141	8	285	2	85	11	114	267	70	163	774	282	383	194
MED18	33	62	68	35	26	31	3	0	14	5	31	39	69	59	97	4
PHACTR4	5649	7792	6096	6383	14824	914	3741	3394	8261	14474	6217	16661	8919	18680	7555	4617
RCC1	595	1324	1173	897	4571	247	1088	1622	3505	1865	1427	4536	1094	2766	469	2447
TRNAU1AP	731	1077	764	735	1296	632	124	241	343	674	509	1066	862	811	985	648
RAB42	1	1	0	5	64	0	14	23	0	50	8	54	4	71	0	0
TAF12	415	1315	752	759	1186	393	89	153	244	771	716	1422	1241	1018	1217	165
GMEB1	2595	3462	2768	2468	5852	1830	1455	1136	2819	3348	2308	4734	4085	4396	4129	4963
YTHDF2	3803	4553	3546	4314	5934	1001	993	993	2894	4201	2960	7369	4085	4498	3884	1733
OPRD1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
EPB41	23633	54671	35240	10532	20328	184607	5192	5571	11303	15693	8817	30342	14197	18439	33077	16682
TMEM200B	1	36	72	0	0	2	0	0	0	2	1	5	0	96	5	0
SRSF4	5574	8949	7459	5381	11477	4656	1968	1862	5484	6525	6402	16005	10335	7653	9068	7069
MECR	86	304	221	65	862	20	192	170	130	541	503	1506	246	757	144	103
PTPRU	4	0	1	0	4	0	54	11	0	10	2	4	12	17	0	0
MATN1	101	47	17	4	27	0	40	0	0	109	11	12	2	103	4	1
LAPTM5	135459	98005	64042	84910	65591	145	14894	17392	42944	43717	24409	46782	236942	56762	37577	32789
SDC3	2	10	3	10	4	0	0	2	1	1	2	76	779	1	5	0
PUM1	14052	22444	14900	8262	22905	3969	2197	2984	6020	17980	11519	23442	21243	20582	12288	6475
NKAIN1	0	0	0	0	16	0	0	2	0	1	1	48	0	0	1	1
SNRNP40	1602	1630	1326	1261	2153	1061	183	378	429	1309	1213	2641	1101	2076	1494	1175
ZCCHC17	761	1300	1090	715	2481	445	452	261	562	1469	1335	2430	1645	1821	2605	1203
FABP3	28	64	45	19	37	7	2	0	3	32	25	34	12	31	106	8
SERINC2	1	0	0	102	41	13	56	19	109	39	50	62	855	44	4	1194
AC114494.1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
TINAGL1	6	0	1	12	2	1	0	6	0	9	1	1	0	7	0	3
HCRTR1	57	71	23	9	93	0	2	20	18	77	31	22	42	121	6	54
PEF1	1105	1585	1141	432	2453	251	186	236	534	2040	969	2896	1660	2132	937	623
COL16A1	2	4	3	0	22	2	0	113	0	23	14	0	5	8	11	1
BAI2	0	1	1	0	2	0	0	0	0	2	0	0	0	0	38	0
SPOCD1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
AL136115.1	605	762	498	483	345	420	1	25	19	231	218	275	1020	388	815	195
PTP4A2	29945	50273	44088	29877	37484	18023	7008	8545	20266	23815	17335	40920	66712	29169	53473	18968
KHDRBS1	9133	13627	9984	16894	19311	2973	5798	7566	21426	14534	11481	22264	10840	18224	9303	15806
TMEM39B	396	587	308	310	1514	29	345	1342	2571	883	711	1146	1210	1122	340	1114
KPNA6	7612	9317	7292	5307	9722	12306	1332	1617	2929	7020	6092	11760	9412	8616	8632	3639
TXLNA	2424	3705	2755	1883	6928	491	1561	2125	5246	4679	3305	8166	5142	6405	3620	3088
CCDC28B	316	260	146	183	636	80	46	67	1	359	176	731	153	503	331	74
IQCC	58	89	66	130	135	66	10	11	433	119	114	172	67	152	90	22
DCDC2B	75	114	42	33	75	3	5	41	0	188	68	60	171	223	93	17
EIF3I	2494	6228	3884	4799	13006	1650	1308	1839	2280	7792	5678	13194	6652	8810	4088	3749
TMEM234	187	186	205	119	301	35	22	52	260	277	182	222	289	261	188	56
FAM167B	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
LCK	204	11317	7783	116	15	0	22	0	24	17	80	1	7	10	5134	4
HDAC1	8750	14812	11689	7730	11510	4989	2341	3179	8192	7875	6490	11634	8365	9280	12570	9663
MARCKSL1	1592	1696	632	1043	4780	118	122	163	698	1436	698	7905	1237	2913	774	2850
TSSK3	71	58	22	39	10	30	0	0	3	80	8	16	32	20	40	0
FAM229A	155	389	242	26	219	180	17	65	3	113	86	195	167	332	76	80
BSDC1	2151	2164	1351	601	1910	3716	200	207	360	1163	565	2361	1117	1355	961	684
RP1-27O5.3	0	1	0	0	0	1	0	0	0	3	0	2	1	6	0	0
ZBTB8B	7	9	4	5	3	1	1	1	0	9	0	2	4	4	3	0
ZBTB8A	8	21	7	112	966	6	41	28	19	1002	540	395	10	999	58	190
ZBTB8OS	925	1398	976	776	807	761	205	128	230	682	509	1174	1512	834	1339	817
RBBP4	6631	9150	7550	12427	19593	10371	2572	2997	6111	10559	10724	19702	9082	12426	10270	10095
SYNC	1	4	2	1	0	1	0	0	0	1	0	1	0	0	0	0
KIAA1522	5	30	23	12	729	44	269	163	456	1103	409	935	331	1009	45	224
S100PBP	2579	3183	2655	4497	4795	2026	645	780	2165	3598	3607	4799	1586	3932	4474	2759
YARS	1945	2897	2611	3692	11559	588	1397	1851	3717	5067	3650	16938	4195	7342	5845	2615
FNDC5	17	18	17	14	17	12	0	0	0	12	11	18	4	1	28	13
HPCA	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0
TMEM54	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0
RNF19B	1354	1280	821	1158	1350	288	308	335	2322	1303	603	1287	5541	1065	1364	3486
FKSG48	4	1	0	0	1	0	0	0	1	2	0	3	3	0	1	1
AK2	4821	5702	5002	8709	19513	1519	8791	11200	17688	12355	11316	21076	10448	15842	6677	12012
ADC	12	157	103	1	31	1	0	0	0	6	2	1	7	4	65	120
TRIM62	351	851	405	174	412	1	20	48	269	503	243	198	563	430	364	335
ZNF362	740	1495	951	446	3366	31	754	760	2660	2175	1213	3546	2165	3456	1379	1480
A3GALT2	1	0	0	2	0	0	0	0	0	0	2	0	7	0	0	0
PHC2	508	1073	794	497	2276	171	703	601	1645	1747	766	2992	6827	2072	644	883
ZSCAN20	50	104	117	86	270	90	14	3	64	136	98	143	66	138	81	14
HMGB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSMD2	0	0	0	1	2	0	0	0	1	0	1	0	3	1	1	0
C1orf94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GJB5	0	0	1	0	1	0	0	0	0	0	0	13	0	0	0	0
GJB4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GJB3	0	4	0	0	3	0	0	0	0	0	6	5	1	4	0	0
GJA4	0	0	1	0	54	0	0	0	0	8	0	101	0	32	0	0
SMIM12	1468	1939	1618	582	2725	476	237	732	1225	1513	1025	3009	2808	1886	1716	697
DLGAP3	5	2	3	0	3	0	5	0	2	16	1	15	8	6	1	121
ZMYM6NB	24	65	42	2	65	0	9	1	13	59	54	71	109	85	47	8
ZMYM6	1203	1039	996	632	990	524	85	42	262	1144	603	888	1442	1122	988	207
ZMYM1	941	2157	2017	1279	1761	220	128	81	556	2339	1361	1719	936	2131	1746	299
SFPQ	23411	24890	19767	30106	40967	9579	11305	11183	21004	26007	19011	47213	28832	31114	14883	24743
ZMYM4	8103	7818	5566	11728	20996	479	6029	6458	12888	14932	12619	20665	10898	16958	7760	8600
NCDN	307	684	460	84	995	10	1076	957	3184	672	584	1204	880	1100	269	450
KIAA0319L	3630	4907	3120	1460	4709	500	1046	1632	1370	3470	2867	5129	7930	4427	2871	1518
TFAP2E	18	166	60	41	12	8	23	75	61	49	34	36	64	58	72	51
PSMB2	2183	4472	3571	3657	9470	1558	1798	2225	5686	4511	4341	12214	7577	7717	3975	4961
C1orf216	34	372	293	119	1173	138	220	229	89	1233	958	881	514	1660	814	28
CLSPN	286	81	127	2999	5044	5037	1792	2068	5410	1438	3467	4870	375	1287	252	5040
AGO4	2378	2663	2237	2341	6300	86	1241	2164	3553	4463	3235	3593	16809	4598	4920	3594
AGO1	4816	8069	6536	3750	10621	65	2134	3265	5237	9661	5286	8938	12898	10918	7319	4042
AGO3	6513	12257	9419	3791	8835	280	898	900	1442	8434	4426	6781	7001	8572	6338	2765
TEKT2	0	0	2	1	26	0	0	0	0	4	2	3	1	1	0	0
ADPRHL2	66	429	147	45	290	22	107	119	15	179	213	404	314	273	111	398
COL8A2	24	120	44	18	108	1	29	138	147	88	60	23	527	124	22	286
TRAPPC3	1122	2266	1626	1989	2173	1145	522	622	708	1360	964	2360	2236	2213	1741	826
MAP7D1	216	2009	1102	343	1551	6	573	844	2569	1407	798	1223	4355	1349	1895	3988
THRAP3	19791	18686	15582	15802	34476	10837	8575	9458	17407	19963	18364	35744	22085	24773	21032	15764
SH3D21	15	19	33	5	157	1	102	128	124	137	108	47	27	236	20	9
RP11-268J15.5	26	0	3	3	185	0	267	96	1313	99	130	30	1	158	6	47
EVA1B	1	3	0	0	79	0	16	6	5	71	54	26	31	157	0	0
STK40	1309	1068	797	385	2306	85	219	608	1123	1579	1002	2242	4580	2769	1659	701
LSM10	479	509	380	73	587	45	62	123	345	290	254	774	1580	369	414	56
OSCP1	25	30	20	18	116	11	6	30	29	116	50	94	54	56	148	10
MRPS15	1147	2621	1999	2642	4700	1215	831	891	2131	1844	2054	7432	2663	2356	1340	999
CSF3R	2	13	20	11	11301	0	10045	8030	7969	6570	9174	2003	41424	10094	315	365
GRIK3	11	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0
ZC3H12A	590	295	221	13	67	3	261	415	255	169	55	76	802	343	222	280
MEAF6	2559	3797	3240	2539	4201	859	607	818	2787	3011	2168	4646	2756	3577	3646	873
SNIP1	1206	1628	1171	820	1111	445	309	267	537	904	824	1429	1625	1485	1996	1233
DNALI1	26	15	7	4	55	11	1	0	27	13	12	45	33	18	3	14
GNL2	1643	2672	2165	1792	8920	1335	2693	2305	4217	4548	4179	11651	5975	5576	2293	3180
RSPO1	8	2	10	2	13	0	74	40	112	3	2	7	7	5	9	3
C1orf109	417	461	302	181	388	821	23	22	78	368	188	1151	223	288	375	57
CDCA8	34	64	107	1907	1661	1496	111	189	902	238	712	1835	73	463	89	1165
EPHA10	4	1	4	0	0	1	0	0	0	3	0	0	1	1	1	0
MANEAL	30	62	45	3	34	32	6	11	2	55	22	57	33	93	86	23
C1orf122	200	368	291	45	490	42	28	42	13	428	139	378	400	323	226	67
YRDC	583	1029	828	574	2030	666	141	133	180	1219	725	1931	778	1695	591	236
AL929472.1	1	4	2	1	1	0	0	0	0	11	1	3	13	7	4	0
MTF1	3918	4583	3208	1745	4009	2208	1092	1653	4371	3785	2510	3354	12714	3849	4023	2064
INPP5B	2145	2854	2520	3579	4770	2256	548	329	600	3878	2786	3393	1930	4033	3296	1521
SF3A3	3805	5951	4298	5336	12280	2093	3345	4141	5164	6085	5212	12835	4114	7000	4414	4317
FHL3	179	273	374	5	1013	0	221	223	471	1435	400	1129	2616	1966	815	38
UTP11L	526	739	664	1488	2914	365	401	402	1283	1925	1875	3470	1483	2488	1196	685
POU3F1	32	9	1	0	2	0	0	0	0	0	0	4	1	1	1	4
RRAGC	5353	3961	2869	1963	3876	1000	673	804	1539	2543	1820	3910	6185	3444	3424	4104
MYCBP	583	1035	891	1046	2016	677	211	213	436	920	1374	2382	1950	1301	1106	724
GJA9	3	0	1	2	0	6	0	0	0	0	0	0	0	3	5	7
RHBDL2	17	20	28	115	6	1	0	0	119	2	19	3	12	10	22	0
AKIRIN1	4603	8877	6498	3418	7254	2314	651	1093	1730	5077	3063	6698	7727	7102	4217	3464
NDUFS5	492	3333	1969	862	5316	663	1390	1117	2867	2267	2325	5572	1918	3135	1077	4265
MACF1	37224	56923	37576	36915	75446	547	18011	16704	27499	73162	53559	57171	37739	72826	91033	31021
KIAA0754	604	955	664	1183	1602	88	180	432	1135	1408	834	2604	2173	1589	527	2283
BMP8A	2	4	2	0	0	0	0	0	0	1	1	3	1	0	1	7
PABPC4	7490	18402	11809	2925	25970	1823	6955	8032	13472	15540	10540	38661	19237	19046	4500	9163
HEYL	0	12	10	16	295	0	12	20	22	399	115	287	64	410	0	35
NT5C1A	0	5	12	0	0	0	0	0	0	0	0	0	0	2	0	0
HPCAL4	3	2803	1141	0	6	0	0	0	0	22	13	6	5	23	23	0
PPIE	1510	2325	1729	546	1936	444	72	126	810	1318	845	2617	1194	1661	1628	354
OXCT2	0	0	1	0	23	0	17	16	125	7	12	1	3	12	13	38
BMP8B	530	104	193	20	122	22	28	52	6	32	44	305	322	77	635	61
TRIT1	668	839	588	789	1455	301	365	338	1999	585	812	2193	1148	754	584	701
MYCL	1	0	0	0	1	3	0	78	90	5	0	6	6068	4	124	1931
MFSD2A	21	11	17	6	143	0	39	127	33	21	118	22	1034	84	6	78
CAP1	20690	42694	38736	15054	32638	1153	5896	7389	18339	20256	17807	22663	97462	24616	52717	26500
PPT1	2634	9475	6581	2199	18830	556	3288	5383	9046	13676	10614	15572	50247	13821	3263	6425
RLF	9214	9261	6619	4492	7305	3660	1047	1055	1645	7516	3763	6594	6478	8332	6034	2858
TMCO2	4	11	2	2	1	1	0	0	0	0	0	3	1	0	2	0
ZMPSTE24	1452	1839	1479	2282	2354	1107	125	173	245	1453	1703	2590	2971	1818	3645	652
COL9A2	23	11	24	0	37	0	12	32	361	9	18	7	149	66	34	7
SMAP2	29329	24721	16389	4176	7055	2166	3676	4091	10337	5562	3087	8354	33763	5796	8615	12100
ZFP69B	168	422	458	139	340	5	50	227	495	238	256	605	64	534	166	26
ZFP69	477	701	730	362	1293	59	122	128	839	902	705	1629	868	828	1010	150
EXO5	171	254	226	617	367	130	123	79	212	228	299	488	236	247	498	1423
ZNF684	316	222	316	249	496	14	40	73	33	336	186	289	297	532	535	134
RIMS3	1327	134	154	2860	254	92	22	56	275	23	207	737	15	70	66	1042
NFYC	2539	3350	2297	2259	3775	1254	499	695	2443	2482	1906	3808	5232	2784	2556	1771
KCNQ4	3	41	8	1	11	45	0	0	0	52	1	136	9	1	4	0
CITED4	0	87	45	0	52	0	325	334	913	14	58	40	121	11	1	75
CTPS1	1373	1421	1394	4135	3094	1290	696	694	2641	1320	2594	4808	818	1578	2145	2341
SLFNL1	116	111	144	212	388	21	44	83	7	103	231	224	48	288	46	127
SCMH1	1652	1714	942	3670	4240	369	4199	5409	8420	3961	2429	1679	1094	3908	460	6135
FOXO6	9	0	0	23	0	0	10	0	1	1	5	0	8	8	1	27
EDN2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0
HIVEP3	1037	2418	1618	569	942	20	814	1097	3943	2297	1768	376	4526	2211	3514	3069
GUCA2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GUCA2A	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXJ3	8223	13089	9966	7749	9232	2601	3857	3362	10864	8903	5045	8805	6828	10906	8409	4610
RIMKLA	12	13	14	1	191	0	1	1	0	220	185	53	4	259	52	29
PPCS	1197	2042	1583	1197	1415	324	33	62	160	1280	829	1565	2237	1379	1333	223
ZMYND12	24	19	7	26	80	1	7	21	58	238	110	116	69	130	17	4
CCDC30	382	448	414	396	377	13	88	32	23	473	283	379	335	421	588	184
PPIH	972	1341	1189	880	1754	362	347	148	338	878	1166	2043	806	1358	1380	619
YBX1	22935	34320	24289	24920	105014	52599	38008	44399	65005	44081	36544	151338	65105	61091	17502	73918
CLDN19	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0
LEPRE1	184	442	352	549	2912	123	899	793	2272	944	1311	2269	1138	1681	587	635
C1orf50	225	637	512	185	243	326	37	62	4	195	186	338	338	346	289	42
ERMAP	168	471	273	286	1027	20456	84	87	411	835	771	3021	1583	1261	248	553
CCDC23	570	1046	712	1318	1382	2127	218	170	596	682	498	1484	783	951	475	578
ZNF691	232	215	287	191	458	33	57	20	31	375	306	521	161	464	185	1
SLC2A1	6311	2666	2092	806	4479	45794	1591	1437	4602	2317	1210	8645	554	3564	3781	5383
FAM183A	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
WDR65	31	1	4	19	25	0	0	0	0	46	7	3	8	29	0	0
TMEM125	1	1	1	12	54	0	0	0	4	69	3	2	0	51	0	12
EBNA1BP2	1745	2443	1786	2426	8085	918	2695	2509	4344	3813	3767	12262	2575	5725	1935	2515
C1orf210	0	0	0	0	0	1	0	0	0	4	0	0	0	6	0	0
TIE1	1	2	2	10	1318	2	251	269	540	1867	480	222	11	1128	89	60
MPL	0	20	6	0	6430	0	2770	2664	2000	8011	1239	998	9	8608	4	16
CDC20	36	51	45	718	1781	756	321	422	956	315	544	1908	174	419	36	921
ELOVL1	1160	910	886	1252	2393	3208	515	613	358	986	1151	2329	3713	1474	1763	212
MED8	546	1077	881	643	1351	968	138	120	160	684	681	1845	1932	1033	1032	80
SZT2	2291	3374	1898	680	2747	444	574	805	1320	2204	1370	3136	3082	2630	1695	1756
HYI	23	52	24	30	41	8	11	89	81	33	34	49	32	64	27	61
PTPRF	2	8	0	2	455	202	66	3	197	176	42	71	1	163	0	34
KDM4A	1168	1323	933	1220	3603	564	470	667	1055	2007	1337	3045	2069	2160	2034	811
ST3GAL3	226	390	218	111	519	92	125	332	153	343	329	595	155	422	219	281
ARTN	1	0	4	0	9	0	3	3	36	7	0	1	0	22	2	6
IPO13	279	528	421	111	1474	172	166	428	727	1132	729	1987	974	1205	475	450
DPH2	870	631	499	567	1811	52	310	333	415	742	731	2749	601	998	414	328
ATP6V0B	664	857	718	666	2095	391	542	759	1197	776	642	1453	8320	1682	1166	2318
B4GALT2	4	20	32	32	1211	49	292	320	347	302	344	2316	16	558	33	68
CCDC24	10	3	12	4	15	143	1	1	3	18	16	28	1	18	0	0
SLC6A9	2	4	0	0	35	1141	1	0	6	26	10	66	0	20	1	8
KLF17	0	0	0	0	20	0	0	0	0	0	1	5	0	2	0	2
DMAP1	956	1617	990	564	1255	163	289	142	361	1117	797	1304	846	1425	1027	942
ERI3	181	425	220	151	1428	60	134	337	54	511	513	1586	370	805	323	298
RNF220	2539	3778	2632	796	9091	567	3038	2971	3997	10322	5294	8990	5005	13586	2618	2872
TMEM53	60	118	52	46	637	9	104	224	31	268	105	519	294	347	119	94
C1orf228	86	408	280	125	1609	0	583	518	1181	505	903	609	371	1530	11	745
KIF2C	28	30	78	383	985	1014	80	96	187	142	333	1266	88	170	38	851
RPS8	106746	210731	127420	29010	267481	8267	26031	26533	43758	185086	86261	256283	70090	238297	22323	34580
BEST4	4	57	35	2	5	0	18	29	1	32	5	12	4	5	44	46
PLK3	66	921	405	12	172	0	65	179	1014	291	83	125	1192	395	40	786
TCTEX1D4	30	44	38	4	28	0	8	2	0	4	1	0	89	20	1	3
BTBD19	8	339	151	43	138	6	31	135	182	130	81	71	565	169	11	104
PTCH2	17	46	4	0	7	2	2	0	0	17	2	37	23	123	3	0
EIF2B3	481	933	640	729	2145	428	226	314	550	907	1035	3636	1039	1547	892	220
HECTD3	518	1322	882	391	2189	1319	926	997	1620	1594	863	3411	3116	2012	1166	1155
UROD	430	1275	924	418	6874	11294	1968	3336	2874	3521	2176	21570	2169	4911	748	3843
ZSWIM5	208	539	392	37	332	434	28	18	210	388	109	244	69	320	255	72
HPDL	61	36	69	12	582	5	83	67	74	291	395	974	34	240	29	8
TOE1	1154	1296	858	521	1436	142	146	227	379	1449	796	1607	773	1640	525	374
MUTYH	657	699	418	90	791	22	294	298	2127	739	316	713	337	845	265	138
TESK2	1346	1146	722	615	1257	529	116	109	31	1055	526	954	899	1222	503	496
MMACHC	95	139	142	119	534	95	52	104	90	259	264	699	100	241	77	36
CCDC163P	212	128	86	112	253	47	21	2	5	101	42	127	61	88	180	265
PRDX1	2980	3580	2480	22829	10278	2224	649	613	1071	13854	11425	6815	4896	14571	1608	1223
AKR1A1	825	1253	914	1034	4788	16	485	637	1181	4491	2625	3397	2934	4974	670	1694
NASP	6222	6541	5424	17686	37174	6183	14209	14098	30726	14812	21861	41176	6436	17560	5884	39444
CCDC17	139	301	86	123	125	72	38	70	0	253	44	81	217	260	82	204
TMEM69	1716	2546	1815	2771	5187	1087	908	668	1773	3865	2616	7399	3570	4701	1519	328
GPBP1L1	11252	16013	12780	8533	16647	11938	3545	3854	8159	14224	9387	14482	17058	16678	12471	5835
IPP	755	1207	963	194	108	293	14	69	21	89	62	327	107	326	1545	336
MAST2	404	335	257	480	1673	416	457	478	1971	1463	870	1392	1077	1596	646	958
TSPAN1	2	9	6	5	2	0	0	0	0	0	1	1	1	3	5	1
PIK3R3	143	258	440	605	2559	506	60	68	570	888	658	3508	365	1280	1807	185
LURAP1	1	15	1	35	130	0	2	2	25	127	53	11	7	110	3	0
POMGNT1	386	791	484	229	1405	4	522	238	278	1257	603	1671	413	1265	525	2213
RAD54L	137	184	164	523	993	291	341	191	860	310	612	799	134	354	140	608
LRRC41	2014	2465	1791	1746	6405	1007	1021	1258	2446	4858	2696	8303	3315	6381	1859	1268
UQCRH	4010	5728	4241	5451	15192	4275	2387	2661	3610	7997	7701	17061	6372	11444	3368	5974
NSUN4	1607	2097	1657	1569	4603	168	1303	801	2816	4548	2434	6094	3186	4972	1227	1398
FAAH	2	21	5	49	85	0	49	151	17	93	230	99	385	110	15	493
